20,7
B,20,6
F,20,6
D,50,6
D,50,6
G,50,6
E,50,6
G,30,6
G,20,7
E,30,7
D,50,7
F,40,7
E,30,7
G,20,7
E,30,7
G,30,7
B,60,8
E,30,8
E,20,8
G,50,8
B,20,8
C,50,9
D,30,9
B,20,9
E,30,9
G,50,9
D,60,9
G,50,10
F,30,10
A,50,10
E,20,10
E,50,10
D,30,11
G,20,11
E,40,11
A,60,12
E,50,12
F,40,12
C,50,12
B,30,12
C,40,12
B,20,12
A,40,12
B,60,13
C,30,13
A,30,13
E,30,13
E,50,13
D,50,14
C,20,14
D,40,14
A,20,14
C,40,14
B,40,14
E,30,14
E,40,14
D,20,15
C,20,15
C,60,15
F,20,15
C,20,15
G,20,15
E,50,15
A,30,15
D,40,15
A,40,15
B,60,16
D,30,16
A,40,16
B,20,16
D,60,17
F,40,17
E,40,17
A,30,17
D,60,17
G,40,17
C,40,17
G,60,17
F,30,18
D,30,18
B,60,18
G,60,18
C,60,18
B,40,18
B,30,18
G,50,18
G,30,18
G,40,19
B,30,19
A,30,19
B,50,19
G,50,19
B,20,20
F,50,20
D,40,20
G,40,20
B,30,20
E,60,20
F,30,20
D,30,20
A,30,20
