20,7
E,40,6
G,20,6
F,30,6
E,20,6
C,30,6
F,40,6
E,20,6
F,60,6
A,20,7
A,30,7
A,40,7
E,60,7
E,60,7
A,20,7
D,60,7
E,30,7
C,60,7
D,60,8
E,40,8
A,50,8
F,20,8
A,20,8
D,20,8
D,60,9
A,40,9
D,30,9
D,50,9
B,20,9
E,60,10
A,40,10
F,20,10
B,50,10
B,30,10
A,40,10
C,30,10
E,40,10
E,50,10
C,50,10
G,30,11
F,20,11
C,20,11
B,50,11
A,50,11
E,40,11
E,30,12
A,30,12
E,20,12
D,40,12
B,20,12
E,50,12
C,60,13
E,50,13
D,50,13
B,60,13
B,20,14
G,60,14
D,30,14
G,20,14
E,30,15
C,40,15
B,40,15
G,50,16
E,50,16
C,20,16
B,20,16
A,60,16
B,20,16
A,40,16
C,40,16
D,30,16
A,30,17
C,60,17
C,20,17
D,40,17
C,20,17
D,60,18
B,40,18
B,50,18
B,60,18
F,50,18
G,50,18
B,30,18
A,40,18
F,20,18
C,30,18
E,20,19
A,30,19
E,20,19
E,40,19
D,20,19
A,40,19
C,30,19
B,20,19
F,40,19
E,50,20
E,40,20
B,40,20
D,50,20
B,40,20
C,40,20
