20,7
G,50,6
C,60,6
B,30,6
C,60,6
C,60,6
C,40,6
F,30,6
B,50,6
D,60,7
C,40,7
F,60,7
E,60,7
C,40,7
F,60,7
G,50,7
G,40,8
D,50,8
G,50,8
F,40,8
G,60,8
B,50,9
F,30,9
A,50,9
B,50,10
B,60,10
F,20,10
E,40,10
D,40,10
D,60,10
E,30,10
F,40,10
F,40,10
F,20,10
B,50,11
E,20,11
G,40,11
D,30,11
E,60,11
G,60,11
F,20,12
D,30,12
F,60,12
B,40,12
E,20,12
F,40,12
C,20,13
C,40,13
G,40,13
F,50,14
C,60,14
A,20,14
F,40,14
E,60,15
B,40,15
F,50,15
G,20,15
C,20,15
E,30,15
D,30,16
F,40,16
A,20,16
B,50,16
E,30,16
D,20,16
A,30,16
E,40,16
G,40,17
C,30,17
C,40,17
B,50,17
F,30,17
E,40,17
C,30,17
B,30,18
F,20,18
E,30,18
B,50,18
E,20,18
D,50,18
A,40,18
D,30,19
F,30,19
A,40,19
F,20,19
G,30,19
G,30,19
A,30,19
B,30,19
C,30,19
F,40,20
D,30,20
G,40,20
F,30,20
B,30,20
C,30,20
D,30,20
E,20,20
B,30,20
E,20,20
F,30,20
