20,7
A,60,6
C,50,6
A,40,6
A,50,6
F,60,6
A,20,6
E,30,6
C,40,7
F,50,7
A,40,7
C,30,7
G,30,7
E,40,7
F,60,8
A,40,8
F,30,8
A,50,9
C,20,9
F,30,9
B,50,9
B,30,9
D,40,9
A,30,9
C,50,9
B,40,10
D,40,10
B,20,10
G,20,10
D,30,10
F,60,10
G,30,10
E,40,10
C,20,11
A,60,11
C,20,11
C,30,11
F,40,11
G,40,11
E,20,11
E,20,12
B,20,12
A,30,12
B,20,12
A,20,12
G,30,12
D,40,12
E,40,13
C,50,13
C,40,13
D,20,13
G,50,13
G,40,14
A,60,14
D,40,14
D,20,14
A,20,14
F,30,14
B,60,14
C,30,14
D,40,15
D,50,15
A,40,15
C,60,16
B,30,16
A,20,16
G,60,17
B,40,17
B,40,17
G,60,17
A,30,17
E,30,17
C,40,17
G,60,17
B,20,17
C,60,18
F,50,18
A,40,18
F,60,18
D,20,18
C,50,18
G,30,18
D,40,18
F,50,18
E,40,18
E,30,19
E,40,19
D,20,19
G,20,19
A,30,19
A,20,19
C,20,19
F,40,19
B,30,19
G,40,19
E,60,19
D,30,20
F,20,20
D,40,20
E,20,20
G,40,20
