20,7
B,30,6
C,60,6
D,20,6
C,40,6
G,30,6
A,50,6
B,60,6
B,40,7
F,20,7
F,60,7
D,30,7
G,20,7
G,60,7
A,60,8
C,40,8
A,60,8
G,50,8
A,40,8
G,40,8
A,50,8
A,50,9
B,50,9
A,60,9
G,40,9
D,40,9
E,40,9
G,30,9
C,50,9
F,40,10
F,30,10
B,30,10
B,40,10
D,20,10
F,40,10
A,40,10
B,30,10
E,30,10
B,50,10
B,20,10
A,20,11
B,50,11
F,50,11
C,30,12
B,50,12
B,50,12
B,40,12
G,20,12
B,40,12
F,20,12
E,20,12
F,20,12
C,40,13
C,20,13
A,20,13
G,30,13
D,50,13
A,20,13
F,40,13
C,40,14
E,40,14
C,40,14
F,40,14
B,20,14
C,40,14
B,20,14
D,30,14
B,40,15
G,20,15
E,40,15
D,40,16
B,20,16
A,30,16
C,20,17
C,30,17
E,20,17
B,60,17
G,20,17
G,60,18
D,60,18
B,50,18
C,60,18
A,40,18
D,30,18
G,30,18
C,40,18
E,30,18
F,30,18
C,40,18
C,20,18
G,20,19
F,50,19
D,20,19
D,30,20
A,40,20
G,30,20
F,60,20
F,30,20
F,30,20
C,40,20
E,40,20
