20,7
G,60,6
C,60,6
G,20,6
F,30,6
E,40,7
G,30,7
G,40,7
G,20,7
D,60,7
C,20,7
F,60,8
D,50,8
D,40,8
D,30,8
G,50,8
E,20,8
C,30,9
G,60,10
B,50,10
G,30,10
F,40,10
B,20,10
E,20,11
B,40,11
C,20,11
G,40,11
C,60,12
E,30,12
E,20,12
A,60,12
A,40,12
G,40,12
C,50,12
F,20,12
D,50,12
B,50,12
F,30,12
D,30,13
D,50,13
E,50,13
E,40,13
A,20,13
D,50,13
D,30,13
D,20,13
G,60,13
A,30,14
A,50,14
G,30,14
B,60,14
E,30,14
A,60,14
B,30,14
B,50,14
F,50,14
F,30,14
B,30,14
D,30,14
C,60,15
G,30,15
D,50,15
E,50,15
C,50,15
C,30,15
A,30,15
A,20,15
E,30,16
B,20,16
E,30,16
A,30,16
D,50,16
C,60,16
G,20,16
D,30,16
A,20,16
D,50,17
F,50,17
C,30,17
B,20,17
E,30,17
E,20,17
G,30,17
G,30,18
F,40,18
G,40,18
C,30,18
C,40,18
F,50,19
D,50,19
F,20,19
D,40,19
B,30,19
G,30,19
A,40,20
C,30,20
A,20,20
B,30,20
A,30,20
A,40,20
D,40,20
