20,7
F,30,6
C,20,6
E,50,6
G,50,6
E,40,6
G,20,6
G,50,6
B,50,6
B,30,6
A,30,7
G,20,7
E,30,7
F,20,7
D,50,7
F,30,7
B,20,7
E,30,8
G,40,8
B,40,8
D,40,8
E,50,8
E,60,9
E,30,9
B,40,9
E,20,9
A,30,10
B,30,10
D,40,10
F,40,11
G,60,11
F,40,11
C,30,11
A,50,11
E,60,11
B,60,11
D,20,11
G,20,12
F,20,12
A,20,12
B,30,12
D,60,12
E,20,12
G,60,12
C,60,13
C,50,13
A,40,13
E,60,13
A,40,13
B,50,13
A,20,14
C,50,14
G,30,14
A,20,14
C,40,14
C,30,14
E,20,14
E,60,15
D,30,15
D,20,15
F,30,15
E,50,15
F,30,15
A,40,16
A,60,16
G,50,16
B,30,16
E,50,16
F,40,17
E,30,17
B,60,17
F,20,17
F,40,17
A,50,17
A,50,17
G,40,17
B,20,17
D,20,17
G,40,17
F,40,17
G,20,18
G,30,18
C,50,18
G,30,18
E,20,18
D,20,18
B,50,18
A,50,18
D,30,19
E,30,19
F,20,19
C,50,19
G,50,19
C,50,19
C,60,20
A,50,20
B,50,20
F,20,20
G,40,20
E,30,20
B,30,20
