20,7
A,60,6
G,40,6
C,60,6
E,50,6
B,40,7
F,40,7
C,30,7
D,60,7
E,40,7
A,60,7
D,20,7
E,60,8
G,60,8
B,40,8
F,30,8
A,40,9
B,20,9
G,50,9
D,60,9
C,30,9
B,30,9
E,40,9
G,30,9
B,40,10
G,40,10
D,40,10
G,20,10
E,20,10
G,50,10
D,20,11
F,60,11
C,30,11
D,60,12
A,30,12
E,30,12
A,20,12
G,20,12
E,20,12
G,50,12
F,60,12
D,50,13
B,50,13
F,60,13
D,50,13
A,30,13
E,30,14
G,50,14
D,20,14
A,20,14
C,40,14
B,50,14
A,20,14
B,60,14
D,40,14
G,30,14
G,60,14
A,50,14
F,20,14
C,30,14
A,40,14
B,40,14
A,40,14
E,20,15
F,20,15
G,30,15
G,50,15
B,30,16
A,30,16
G,20,16
B,30,16
B,20,16
B,30,16
A,50,16
D,50,16
F,30,16
D,30,16
G,40,16
D,50,17
C,40,17
B,20,17
G,30,18
C,40,18
B,40,18
A,40,18
E,40,18
D,20,18
G,40,18
E,30,18
F,30,19
C,30,19
G,20,19
C,40,19
D,30,19
A,30,19
C,40,20
G,30,20
D,40,20
C,30,20
F,40,20
E,40,20
