20,7
C,30,6
G,40,6
E,50,6
D,60,6
D,30,6
E,50,6
C,20,6
A,30,6
E,20,6
F,20,7
F,30,7
E,20,7
G,40,7
E,30,7
E,50,7
A,40,8
D,20,8
F,30,8
E,40,8
G,30,8
E,40,8
B,20,8
C,50,8
G,30,8
D,20,8
C,30,8
E,40,9
F,40,9
D,20,9
F,40,9
G,20,10
A,50,10
E,30,10
A,20,10
A,20,10
F,60,10
C,40,11
E,50,11
C,50,11
E,30,11
F,20,11
C,30,11
B,60,12
E,20,12
F,20,12
A,40,12
G,20,12
A,40,13
C,20,13
D,20,13
B,20,13
A,60,13
B,50,13
E,60,13
E,50,13
B,30,13
G,60,14
C,50,14
G,40,14
G,40,14
G,30,15
G,50,15
D,40,15
A,60,15
D,60,15
A,30,16
G,50,16
F,40,16
F,20,16
D,60,16
G,30,16
B,60,16
D,20,17
E,60,17
C,40,17
C,20,17
B,50,17
D,40,17
G,30,17
C,40,17
C,30,17
B,20,17
D,30,17
A,60,18
E,30,18
E,30,18
E,40,18
D,60,19
F,50,19
E,30,19
D,30,19
C,30,19
E,20,20
E,60,20
E,30,20
A,50,20
B,30,20
D,20,20
G,30,20
E,40,20
