20,7
B,30,6
F,20,6
G,30,6
E,30,6
D,30,6
G,40,7
F,30,8
B,60,8
C,20,8
C,50,8
C,40,8
B,60,9
F,40,9
F,40,9
E,40,9
G,30,9
B,20,9
G,30,9
C,30,10
F,20,10
E,60,10
C,20,10
B,40,10
D,60,10
A,20,11
A,60,11
G,20,11
A,20,11
E,40,11
F,20,11
F,20,11
F,50,12
D,40,12
G,40,12
C,40,12
F,60,13
G,30,13
D,30,13
E,20,13
C,60,13
E,60,14
F,20,14
E,30,14
A,40,14
B,30,14
C,20,15
E,60,15
A,50,15
C,40,15
F,30,15
B,40,15
G,20,15
A,30,15
E,50,16
C,40,16
D,60,16
B,20,16
A,20,17
F,60,17
C,50,17
D,50,17
E,40,18
D,20,18
C,60,18
G,40,18
C,50,19
C,20,19
B,60,19
A,60,19
F,40,20
B,60,20
D,30,20
A,20,20
E,20,20
F,20,20
G,40,21
A,60,21
B,50,21
A,60,21
A,60,22
G,30,22
C,50,22
E,30,22
E,20,22
A,30,22
A,40,22
D,40,23
C,50,23
F,60,23
B,60,23
A,60,23
A,30,23
C,20,23
A,30,23
E,20,23
E,60,24
D,40,24
D,20,24
C,60,24
E,30,24
