20,7
A,20,6
E,30,6
D,20,6
F,50,6
A,60,6
G,20,6
E,50,6
F,20,6
E,30,6
B,40,7
A,50,7
F,50,7
B,30,7
B,40,7
F,30,8
D,40,8
E,30,8
B,30,8
A,40,8
B,20,9
B,60,9
C,30,9
F,40,9
E,50,10
C,60,10
C,40,10
D,30,10
D,50,11
A,40,11
D,40,11
F,60,11
A,60,11
E,40,13
E,50,13
A,50,13
C,50,13
A,30,13
A,30,13
A,50,13
F,50,13
G,20,14
G,60,14
C,40,14
F,50,14
D,60,14
E,60,14
B,60,14
G,60,14
B,30,15
F,40,15
E,30,15
F,30,16
F,20,16
A,30,16
A,30,17
B,40,17
F,40,17
A,20,17
C,60,17
F,50,17
G,50,18
E,30,18
E,50,18
D,50,19
C,50,19
F,50,19
E,20,19
D,60,19
G,60,19
B,20,19
F,40,20
D,40,20
F,40,20
D,50,20
C,50,21
C,30,21
A,30,21
G,40,21
F,50,22
D,60,22
E,40,22
C,50,22
B,30,22
D,60,22
B,20,22
B,20,23
D,40,23
B,40,23
F,60,23
F,40,23
G,40,23
E,50,23
F,50,23
G,40,23
F,30,23
D,50,24
G,30,24
A,30,24
D,30,24
D,20,24
