20,7
G,20,6
E,60,6
D,40,6
C,60,6
D,50,6
E,50,7
A,40,7
G,40,7
A,40,7
E,40,7
E,50,7
G,30,7
A,20,7
B,40,7
B,30,7
B,20,7
F,60,8
D,50,8
D,20,8
C,50,8
E,40,8
G,60,8
D,20,9
G,30,9
D,20,9
A,40,9
B,20,9
A,40,10
A,40,10
B,20,10
F,60,10
F,20,10
A,20,11
B,30,11
F,30,12
G,30,12
E,20,12
C,40,13
F,30,13
F,20,13
B,40,13
C,60,13
C,50,13
C,30,13
G,30,14
B,30,14
D,40,14
F,50,14
A,40,14
A,30,15
C,30,15
B,60,15
D,50,15
E,50,15
G,50,16
G,40,16
A,30,16
A,40,16
A,20,17
E,20,17
C,20,17
D,20,17
E,60,17
C,60,17
A,20,17
B,50,17
F,20,17
F,30,18
E,60,18
A,30,18
G,40,18
G,40,18
E,20,18
G,30,18
B,50,18
E,30,18
B,40,19
F,40,19
A,30,19
F,30,20
A,60,20
G,50,21
E,60,21
D,60,21
D,30,21
E,50,21
G,60,21
A,40,21
F,40,21
G,30,22
C,60,22
E,60,22
F,50,22
A,50,23
C,40,23
E,30,23
G,60,23
G,30,23
C,40,23
D,30,24
