20,7
A,40,6
B,40,6
D,30,6
A,30,6
G,30,7
F,40,7
G,30,7
F,30,7
F,40,7
D,30,7
B,50,8
E,30,8
C,20,8
E,50,9
D,60,9
A,50,10
E,40,10
F,30,10
E,40,10
A,20,11
F,20,11
F,20,11
F,30,11
D,60,11
G,20,11
D,50,11
G,50,12
G,20,12
E,40,12
G,40,12
B,20,13
E,40,13
B,60,13
A,20,13
G,30,13
G,40,13
B,20,13
E,30,13
D,50,13
G,20,14
D,20,14
A,50,14
A,30,14
C,20,14
C,20,14
C,40,14
C,50,14
C,50,15
A,20,15
F,40,16
E,50,16
G,50,16
A,40,16
F,30,17
B,40,17
C,40,17
E,40,17
B,30,17
G,30,17
A,20,17
B,30,17
E,60,18
F,20,18
F,50,18
B,40,18
C,40,18
E,60,18
E,30,18
A,60,19
E,30,19
A,30,19
C,60,19
G,50,19
F,50,19
G,50,19
E,60,19
F,50,19
B,20,20
G,50,20
E,30,20
D,50,21
G,40,21
C,20,21
A,40,21
C,40,21
G,40,22
G,40,22
B,20,22
F,50,22
A,30,23
C,60,23
D,20,23
B,20,23
E,30,24
A,60,24
B,60,24
C,40,24
C,60,24
E,20,24
F,30,24
