20,7
B,20,6
G,40,6
C,60,6
B,50,6
A,30,6
B,50,6
B,20,6
A,40,6
E,40,7
E,60,7
D,40,7
C,50,8
A,20,8
F,20,9
B,40,9
G,30,9
E,20,9
C,60,9
G,40,9
D,30,10
F,50,10
E,40,10
F,20,10
F,30,11
E,20,11
B,60,11
A,50,11
D,40,11
A,40,12
A,40,12
G,60,12
B,40,12
B,20,12
B,60,13
C,40,13
B,60,13
D,50,13
C,20,13
A,40,14
C,50,14
C,30,14
C,50,14
C,40,14
B,50,14
A,20,14
G,30,15
B,40,15
B,30,15
A,30,15
B,50,15
G,40,15
B,60,16
F,60,16
A,40,16
F,20,16
E,60,16
G,30,16
A,50,16
C,50,16
C,60,16
C,40,17
E,50,17
D,40,17
F,50,17
A,20,17
G,40,17
A,40,17
E,60,17
E,20,18
F,40,18
E,20,18
E,60,19
F,20,19
B,50,19
A,20,20
D,20,20
A,40,20
F,30,21
D,50,21
G,30,21
G,40,21
E,60,21
F,60,21
F,30,22
G,60,22
C,50,22
E,20,22
G,60,22
B,40,22
F,20,23
F,40,23
E,50,23
E,40,23
C,40,23
B,30,23
G,20,23
A,40,24
G,40,24
D,20,24
F,60,24
