20,7
F,40,6
F,20,6
E,30,6
C,50,7
D,30,7
A,20,7
C,30,7
G,60,7
A,40,7
A,60,7
G,60,8
E,50,8
D,30,8
B,60,8
F,40,8
D,60,8
G,50,8
D,60,9
C,40,10
C,60,10
D,60,10
G,60,10
A,20,11
G,50,11
B,40,11
G,60,11
F,60,11
D,60,11
C,60,11
C,20,12
A,20,12
E,20,12
A,20,12
F,30,12
B,50,12
B,30,13
G,30,13
E,40,13
B,40,13
D,60,13
B,30,13
F,20,13
C,40,14
B,20,14
G,40,14
G,30,15
A,50,15
F,40,15
D,40,16
F,30,16
F,60,16
C,50,16
B,20,17
B,50,17
D,50,17
C,50,17
C,50,18
G,60,18
G,20,18
C,60,18
C,30,18
A,60,18
B,50,19
C,20,19
B,40,19
D,20,19
C,50,19
B,60,20
D,20,20
C,20,20
D,20,20
C,30,20
G,50,20
A,40,20
A,30,21
B,60,21
D,40,21
G,50,21
A,50,21
D,20,21
D,60,22
A,60,22
C,30,22
B,40,22
B,40,22
F,60,23
E,40,23
C,30,23
A,30,23
E,20,23
A,20,23
A,60,24
B,60,24
G,40,24
B,20,24
F,50,24
C,40,24
D,30,24
B,40,24
G,20,24
