20,7
E,60,6
E,40,6
C,50,6
C,50,6
F,30,7
G,30,7
C,20,7
A,40,7
G,50,7
G,60,7
B,30,8
C,30,8
A,50,8
D,40,8
E,30,8
A,20,8
G,60,8
A,50,9
G,20,9
D,50,9
F,40,10
B,30,10
A,20,10
B,60,10
D,40,10
G,50,10
D,40,10
D,40,10
B,30,11
E,60,11
D,30,11
F,20,11
G,40,11
E,60,12
F,50,12
C,50,12
G,30,12
A,50,12
B,30,13
A,50,13
E,20,13
G,60,13
C,40,13
D,60,13
F,20,13
C,20,13
C,60,14
C,20,14
B,20,14
E,20,14
G,60,14
D,30,14
D,50,14
G,50,15
F,30,15
D,30,16
E,30,16
A,20,16
A,30,16
B,30,16
D,50,16
A,60,16
F,40,16
B,60,16
E,30,17
E,40,17
G,60,18
D,50,19
E,50,19
A,60,19
C,60,19
D,30,20
C,20,20
A,30,20
C,30,20
F,50,20
D,30,20
D,20,20
C,30,21
F,50,21
C,40,21
F,50,21
G,40,21
G,20,21
G,40,22
G,60,22
B,40,23
A,30,23
F,20,23
B,50,23
D,40,23
C,30,23
A,60,23
G,20,24
B,20,24
G,20,24
D,30,24
B,60,24
A,20,24
F,40,24
