20,7
F,20,6
B,30,6
A,50,7
F,20,7
C,30,7
C,30,8
E,20,8
A,50,8
G,40,8
D,30,8
A,60,9
B,20,9
A,30,9
D,20,9
D,40,9
A,30,10
D,40,10
E,60,10
E,20,10
B,50,10
F,30,10
E,50,11
B,50,11
G,40,11
A,40,11
E,40,11
B,60,11
G,60,11
F,50,12
G,40,12
B,20,12
A,20,12
C,40,12
F,50,13
A,60,13
G,20,13
G,40,13
G,30,14
G,20,14
G,60,14
B,20,14
D,30,15
E,30,15
F,60,15
A,50,15
D,50,15
G,30,16
B,20,16
B,60,16
G,40,16
B,60,16
G,50,16
B,20,16
E,30,17
B,30,17
D,40,18
D,30,18
A,30,18
D,30,18
E,50,18
C,40,18
E,50,18
E,40,18
G,20,18
B,20,18
E,60,18
F,20,18
D,50,18
D,60,18
D,40,18
F,60,18
G,50,19
D,60,19
C,60,19
E,40,19
G,20,19
C,50,20
D,60,20
B,20,20
E,40,20
B,40,20
C,30,20
G,50,22
B,60,22
E,40,22
C,40,22
A,40,22
A,60,22
D,40,23
A,60,23
E,20,23
B,20,23
D,30,23
C,50,24
F,50,24
C,30,24
G,50,24
E,30,24
E,20,24
D,40,24
