20,7
A,50,6
F,20,6
C,30,7
C,40,7
F,60,7
A,20,7
D,40,7
F,60,7
B,50,7
E,20,8
E,20,8
D,40,8
E,40,8
A,40,8
D,50,9
A,60,9
A,40,9
F,20,9
C,20,9
B,40,9
G,40,10
B,20,10
G,40,10
G,20,10
E,60,10
A,50,11
G,30,11
D,30,11
A,50,11
E,20,11
F,40,11
A,50,11
B,60,11
D,30,11
D,30,12
F,20,12
G,20,12
B,20,12
G,30,13
B,20,13
B,20,13
G,20,13
G,40,13
B,40,13
D,20,14
G,60,14
A,40,14
B,30,14
E,30,15
G,40,15
A,60,15
G,30,15
E,40,15
B,30,15
D,50,16
C,40,16
A,30,16
C,50,16
B,40,16
G,60,16
C,40,17
B,60,17
B,60,17
B,30,17
G,40,17
F,30,17
G,60,17
C,20,18
B,20,18
D,20,18
D,60,18
C,60,19
B,30,19
C,30,19
G,60,20
A,60,20
E,20,20
G,40,20
C,60,20
B,20,20
F,60,21
F,20,21
D,20,21
C,50,21
A,40,22
D,40,22
C,30,22
A,40,22
B,20,22
A,40,22
G,30,22
D,50,22
C,40,22
B,60,23
G,30,24
F,30,24
D,60,24
G,40,24
F,20,24
D,60,24
