20,7
C,50,6
E,30,6
D,50,6
A,50,6
C,40,6
E,60,6
B,60,7
F,40,7
C,30,7
B,30,7
F,20,7
A,40,7
C,20,7
G,60,8
G,40,8
G,60,8
G,50,8
G,60,8
F,50,8
G,20,8
F,20,9
C,60,9
G,40,9
A,20,9
C,50,10
E,40,10
C,60,10
B,30,10
B,40,10
F,40,10
D,40,10
B,60,11
E,40,11
B,30,12
F,40,12
F,50,12
B,50,13
E,50,13
G,40,13
B,30,13
C,60,13
G,40,13
D,60,13
E,50,13
E,50,13
A,30,14
C,20,14
F,60,14
A,20,14
B,30,14
C,30,14
G,20,15
D,40,15
D,20,15
A,40,15
B,60,15
D,30,15
E,20,16
E,50,16
G,30,16
E,30,16
G,30,16
D,40,17
C,60,17
D,40,17
F,30,17
C,40,17
D,50,17
A,20,18
D,20,18
A,50,18
F,50,18
F,50,18
E,60,18
D,60,18
D,40,19
D,20,19
G,50,19
D,30,19
A,20,20
F,40,20
F,40,20
D,40,20
E,40,20
B,50,21
G,60,21
G,40,21
E,40,21
C,40,21
G,40,21
A,60,21
F,50,21
C,40,21
G,20,21
A,30,21
C,40,21
E,40,22
B,50,22
C,40,22
C,50,22
