20,7
B,40,6
E,30,6
G,40,6
C,50,6
A,20,6
A,30,6
D,40,7
C,60,7
A,60,7
G,60,7
B,40,7
C,50,8
C,50,8
G,30,8
A,50,8
B,40,9
B,20,9
A,30,9
B,50,9
E,60,9
B,30,9
E,30,9
G,20,10
D,30,10
F,50,10
D,40,10
F,60,10
G,30,11
D,60,11
D,40,11
A,60,11
A,30,11
C,40,11
D,60,12
A,40,12
C,20,12
C,40,12
A,50,12
C,60,12
E,60,12
A,60,12
F,60,12
F,30,13
E,40,13
B,50,13
F,60,14
G,60,14
B,30,14
D,50,14
G,20,14
C,50,14
G,50,14
G,30,14
B,60,15
E,30,16
B,60,16
G,30,17
E,30,17
E,40,17
E,20,17
B,60,17
G,20,17
E,20,17
D,50,18
A,20,18
G,60,18
D,20,18
A,40,18
B,20,18
A,20,19
A,40,19
C,50,19
E,40,19
C,50,19
D,40,19
F,30,19
F,40,20
E,50,20
E,40,20
G,30,20
F,20,20
G,60,20
F,20,21
C,50,21
B,60,21
A,30,21
A,40,21
B,20,21
D,20,21
F,40,21
E,40,21
B,30,21
B,50,21
D,40,22
C,30,22
C,50,22
F,50,22
C,50,22
A,50,22
G,30,22
