20,7
F,60,6
G,60,6
B,50,6
B,50,6
G,50,6
A,20,6
E,20,6
E,30,7
G,30,7
B,20,7
G,30,7
A,30,7
E,60,7
G,30,7
D,20,7
A,30,7
A,50,8
G,40,8
F,50,8
F,40,8
C,60,8
C,50,8
E,60,8
C,20,9
C,50,9
C,60,9
C,60,9
A,30,10
B,40,10
A,30,10
A,50,10
D,30,10
D,50,10
F,30,11
D,50,11
B,50,11
G,40,11
F,40,11
B,50,11
F,40,11
D,40,12
C,60,13
E,40,13
G,50,13
F,50,13
C,60,14
G,60,14
D,50,14
E,20,14
G,20,15
B,60,15
E,40,15
C,50,15
D,40,16
G,30,16
D,40,16
F,30,16
E,50,17
C,50,17
G,20,17
B,60,17
D,20,17
C,30,17
B,20,17
G,20,17
A,50,17
G,60,17
C,20,17
G,20,18
F,60,18
D,30,18
D,40,18
E,40,18
D,30,18
F,30,18
A,20,18
F,40,18
D,40,18
G,40,18
G,40,19
B,20,19
A,50,19
E,20,19
G,50,19
G,30,19
D,40,20
F,60,20
F,30,20
C,60,20
C,20,20
C,30,20
E,30,21
F,40,21
B,40,21
G,40,21
C,50,21
E,50,22
A,30,22
G,40,22
G,30,22
