20,7
D,50,6
F,50,6
B,60,6
D,20,6
G,50,7
F,50,7
B,30,7
B,50,7
E,30,7
G,30,8
A,60,8
D,60,8
G,20,8
A,60,8
D,60,8
E,20,9
D,30,9
F,50,10
C,20,10
C,20,10
G,60,10
B,40,10
A,30,10
E,30,10
A,50,11
A,20,11
A,60,11
A,20,11
E,60,12
D,60,12
F,60,12
G,30,12
F,40,12
C,50,13
C,20,13
A,60,13
F,40,13
B,20,13
A,40,13
F,50,13
F,40,13
A,60,14
C,30,14
F,30,14
C,20,14
B,40,15
E,50,15
A,30,15
D,30,15
G,30,15
B,40,15
F,60,15
C,20,15
A,50,15
D,60,16
F,20,16
E,30,16
A,30,16
D,20,16
F,40,17
G,60,17
B,20,17
F,50,17
D,50,17
E,40,17
D,20,18
G,20,18
F,50,18
F,40,18
F,40,19
F,20,19
E,40,19
E,40,19
F,60,20
D,40,20
G,20,20
B,30,20
A,40,20
F,50,20
E,60,20
C,40,20
D,50,20
E,20,20
G,30,20
E,20,20
F,60,20
D,20,21
F,30,21
D,60,21
G,40,21
E,30,21
E,60,21
G,50,21
D,30,22
A,40,22
F,50,22
F,50,22
B,30,22
E,20,22
A,60,22
