20,7
D,20,6
A,50,6
G,20,6
A,60,6
A,50,6
C,50,6
F,50,6
F,20,7
A,40,7
A,50,8
B,50,8
A,20,8
B,30,8
B,50,8
C,20,9
F,20,9
A,30,9
A,60,9
B,40,9
B,50,9
F,30,9
G,40,9
E,30,9
D,60,9
G,50,9
C,20,10
B,50,10
B,30,10
G,40,10
G,40,10
C,60,11
D,30,11
F,50,11
D,20,11
A,60,11
D,20,11
B,20,11
F,40,11
B,20,11
A,30,11
E,40,12
E,20,12
G,50,12
C,20,12
C,60,12
E,20,12
B,60,13
B,60,13
G,50,13
B,40,13
F,60,13
G,60,14
B,30,14
D,40,14
E,20,14
C,30,15
G,30,15
E,20,15
G,50,15
C,60,15
D,40,15
E,30,15
B,40,15
G,20,15
B,30,16
E,50,16
G,50,16
C,50,16
D,50,17
E,30,17
G,30,17
G,50,17
D,20,18
F,30,18
C,60,18
G,40,18
B,20,18
F,50,18
E,60,19
A,50,19
C,30,19
F,40,19
A,50,20
F,30,20
E,30,20
A,30,20
E,40,20
C,20,20
F,40,21
G,30,21
E,60,22
D,60,22
G,20,22
E,20,22
G,50,22
E,50,22
C,20,22
F,40,22
A,60,22
E,30,22
