20,7
B,20,6
G,40,6
C,50,6
G,30,6
F,20,6
C,30,6
F,50,7
A,50,7
E,20,7
G,50,7
F,20,7
C,60,8
E,60,8
D,50,8
A,30,8
C,50,8
B,60,9
G,40,9
C,50,9
G,60,9
G,20,9
A,50,9
E,30,9
F,20,9
F,60,9
A,60,9
A,30,9
C,20,9
A,20,10
B,20,10
E,60,10
F,60,10
E,20,10
B,60,11
E,40,11
D,50,11
D,20,11
G,30,12
C,50,12
E,40,12
C,30,12
C,20,13
C,50,13
C,20,13
F,20,13
D,20,13
A,60,13
A,50,13
B,50,13
A,20,13
F,40,14
E,20,14
B,30,14
A,60,14
E,40,14
D,40,14
D,40,15
F,60,15
C,40,16
C,20,16
C,40,16
G,30,16
C,40,16
F,30,16
E,50,17
F,20,17
G,40,17
D,50,17
E,50,17
F,40,18
E,30,18
E,40,18
A,50,19
E,60,19
F,20,19
A,20,19
F,50,19
A,40,19
G,30,19
D,60,19
C,50,19
G,50,20
G,50,20
F,20,20
A,50,20
F,50,20
A,60,20
D,30,20
B,30,21
F,20,21
F,20,21
F,40,22
D,20,22
A,50,22
E,50,22
B,30,22
F,30,22
D,60,22
C,40,22
F,30,22
