20,7
B,30,6
F,40,6
C,60,6
B,30,6
B,20,6
A,60,7
B,20,7
C,60,7
A,50,8
G,50,8
C,40,8
E,20,8
E,60,8
F,30,9
F,30,9
D,40,9
F,20,9
F,40,9
G,40,10
C,50,10
D,60,10
F,50,10
C,60,10
G,40,10
B,20,10
B,40,11
D,20,11
D,50,11
F,60,11
C,40,11
C,50,11
G,20,12
F,40,12
G,20,12
F,30,12
A,40,12
C,40,12
A,60,12
F,20,13
B,60,13
F,60,13
A,50,13
D,30,14
E,50,14
B,50,14
E,40,14
D,50,14
E,20,14
F,60,14
D,60,14
D,30,14
F,60,14
E,20,14
C,60,15
D,60,15
E,40,15
C,40,15
F,20,15
D,50,15
G,50,16
C,40,16
B,50,16
F,30,16
D,30,16
E,50,17
G,40,17
G,20,17
E,40,17
A,20,17
A,40,17
F,40,18
A,60,18
E,40,18
B,40,18
B,30,18
G,20,18
D,30,18
D,30,18
E,40,19
E,50,19
C,40,19
C,50,19
C,30,19
D,40,19
D,30,19
D,40,19
E,20,19
B,30,19
E,20,20
E,30,20
E,20,20
B,30,20
F,30,20
A,40,21
C,30,21
B,30,21
B,30,21
D,40,22
F,50,22
E,40,22
