20,7
B,60,6
C,40,6
E,40,6
F,50,6
A,30,6
A,60,6
D,20,6
E,40,7
D,50,7
B,30,7
B,60,7
G,50,7
G,20,7
G,50,8
D,30,9
F,30,9
B,60,9
B,30,9
D,50,10
F,60,10
B,60,10
G,50,10
A,30,10
G,20,10
C,50,10
D,60,10
G,40,11
A,40,11
F,60,11
C,50,11
B,40,11
F,20,11
G,50,12
E,20,12
D,50,12
G,20,12
C,60,12
F,30,12
A,50,13
C,60,13
D,30,13
B,20,13
A,20,14
F,60,14
G,60,14
E,30,14
F,50,14
A,40,14
E,30,14
C,30,14
C,20,15
G,30,15
E,20,15
F,50,15
G,40,16
D,30,16
D,50,16
G,20,16
D,20,16
C,30,16
F,60,16
B,30,16
F,30,17
C,60,17
G,20,17
E,30,17
E,50,17
B,30,18
G,30,18
A,30,18
D,50,18
F,60,18
B,50,18
G,30,19
E,50,19
F,20,19
G,20,19
F,60,19
A,40,19
C,40,20
A,40,20
G,30,20
B,30,20
A,40,20
C,50,20
E,50,20
E,40,21
G,60,21
G,30,21
A,50,21
A,40,21
E,40,21
F,40,22
B,50,22
F,60,22
D,60,22
B,40,22
E,40,22
E,50,22
B,30,22
