20,7
G,40,6
E,50,6
D,20,6
G,60,6
A,40,6
F,40,6
E,50,6
C,20,7
B,30,7
E,50,7
D,30,7
A,40,7
G,40,7
D,50,7
G,20,8
B,20,8
C,60,8
G,40,8
B,60,8
D,20,8
C,40,9
G,20,9
E,20,9
B,40,10
E,60,11
C,50,11
G,40,11
G,30,12
F,20,12
B,50,12
D,20,12
C,50,12
C,60,12
B,20,12
F,30,12
B,30,13
E,40,13
D,30,13
A,40,13
E,50,13
E,40,13
D,60,13
B,50,13
E,50,13
G,40,14
A,60,14
D,20,14
E,20,14
G,30,15
A,60,15
G,50,15
D,50,15
B,40,15
B,50,15
G,30,16
A,40,16
G,40,16
F,30,16
F,20,16
A,20,16
G,40,17
C,40,17
G,60,17
C,50,17
F,60,17
B,40,17
C,50,18
A,40,18
C,40,18
F,50,18
F,40,18
F,60,18
B,20,18
C,50,18
A,30,18
F,50,18
E,20,19
D,30,19
C,40,19
B,40,19
C,30,19
C,50,19
G,30,19
D,60,20
A,30,20
F,50,20
C,30,20
E,40,20
C,30,20
F,60,20
F,50,20
C,40,21
B,30,21
E,30,21
F,50,22
B,60,22
A,40,22
E,60,22
D,50,22
B,10,22
